dealer_id,rounded_price,car_id,price,url
6873,20000,25300058,23594,https://www.aylesbury-tradecentre.co.uk/details/used-car-in-aston-clinton/landrover/rangeroversport/3.0-sd-v6-hse-dynamic-auto-4wd-euro-6-ss-5dr/933103/
6873,25000,26239279,28594,https://www.aylesbury-tradecentre.co.uk/details/used-car-in-aston-clinton/bmw/x5/3.0-40d-m-sport-auto-xdrive-euro-6-ss-5dr/1312415/
6873,40000,25540208,41994,https://www.aylesbury-tradecentre.co.uk/details/used-car-in-aston-clinton/mercedes-benz/vclass/2.0-v220d-amg-line-g-tronic+-euro-6-ss-5dr-7-seat/1252469/
6873,50000,26016648,51599,https://www.aylesbury-tradecentre.co.uk/details/used-car-in-aston-clinton/mercedes-benz/cclass/2.0-c43-mhev-amg-premium-plus-g-tronic+-4matic-euro-6-ss-4dr/1294399/
6882,0,25313347,1995,https://www.motorworldltd.co.uk/cars/jaguar/s-type/3.0-v6-4dr/1240944/
6882,5000,26055268,6995,https://www.motorworldltd.co.uk/cars/mazda/cx-5/2.2-skyactiv-d-sport-nav/1297182/
6882,10000,25996215,11995,https://www.motorworldltd.co.uk/cars/volkswagen/caddylife/1.4-tsi-bluemotion-tech-auto-wheelchair-accessible/1292134/
6882,15000,27674484,15995,https://www.motorworldltd.co.uk/vans/ford/transit/2.0-340-ecoblue-trend/1430727/
6882,20000,25937077,21795,https://www.motorworldltd.co.uk/cars/ford/grandtourneoconnect/wheelchair-accessible/1286609/
6882,30000,23495773,33495,https://www.motorworldltd.co.uk/cars/landrover/rangeroversport/3.0-d300-mhev-hse-auto-4wd-7-seats-euro-6-ss-5dr/1240936/
6883,0,27404829,3990,https://www.mortonparkmotorcompany.co.uk/details/car-in-darlington/fiat/500/1.2-lounge-euro-6-ss-3dr/1408683/
6883,5000,25398752,8990,https://www.mortonparkmotorcompany.co.uk/details/car-in-darlington/suzuki/swift/1.2-dualjet-mhev-sz3-euro-6-ss-5dr/1243946/
6883,10000,25276306,11099,https://www.mortonparkmotorcompany.co.uk/details/car-in-darlington/audi/tt/2.0-tfsi-black-edition-s-tronic-quattro-euro-5-ss-3dr/1233666/
6883,15000,26719031,17990,https://www.mortonparkmotorcompany.co.uk/details/car-in-darlington/lexus/rx/3.5-450h-v6-luxury-cvt-4wd-euro-6-ss-5dr/1351364/
6883,20000,27790267,22690,https://www.mortonparkmotorcompany.co.uk/details/car-in-darlington/mercedes-benz/eclass/2.0-e220d-amg-line-premium-g-tronic+-euro-6-ss-2dr/1441073/
6883,25000,16697333,27990,https://www.mortonparkmotorcompany.co.uk/details/car-in-darlington/landrover/rangerover/3.0-td-v6-autobiography-auto-4wd-euro-5-ss-5dr/570395/
6887,5000,26193864,7695,https://www.clubclasscarsyork.com/used-seat-leon-dunnington-north-yorkshire-6456336
6887,10000,27593098,12495,https://www.clubclasscarsyork.com/used-bmw-4-series-gran-coupe-dunnington-north-yorkshire-6818962
